Common Name,Scientific Name,Plant Type
New Mexico Locust,Robinia neomexicana,Shrubs
Rose of Sharon,Hibiscus syriacus,Shrubs
Vitex,Vitex agnus-castus,Shrubs
Bleeding Heart,Malvaviscus arboreus,Forbs
Coral Bells,Heuchera Sanguinea,Forbs
Germander,Teucrium canadense,Forbs
Hosta,Hosta spp.,Forbs
Lilac,Syringa vulgaris,Shrubs
Mugo Pine (dwarf),Pinus mugo,Shrubs
Viburnum ssp,Viburnum ellipticum,Shrubs
Arborvitea,Thuja occidentalis,Trees
Common Juniper,Juniperus ssp,Trees
Hawthorn (black),Crataegus douglasii,Trees
Colorado Spruce,Picea pungens,Trees
